threshold,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,true_positives,true_negatives,false_positives,false_negatives,false_positive_cost,false_negative_cost,retention_campaign_cost_total,expected_avoided_churn,estimated_savings,business_cost
0.1,0.3454,0.9785,0.5105,0.332,0.668,0.0215,364,343,690,8,34500.0,4000.0,36400.0,109.2,72800.0,-34300.0
0.11,0.3527,0.9785,0.5185,0.3533,0.6467,0.0215,364,365,668,8,33400.0,4000.0,36400.0,109.2,72800.0,-35400.0
0.12,0.359,0.9785,0.5253,0.3708,0.6292,0.0215,364,383,650,8,32500.0,4000.0,36400.0,109.2,72800.0,-36300.0
0.13,0.3635,0.9731,0.5292,0.3863,0.6137,0.0269,362,399,634,10,31700.0,5000.0,36200.0,108.6,72400.0,-35700.0
0.14,0.3705,0.9731,0.5367,0.4046,0.5954,0.0269,362,418,615,10,30750.0,5000.0,36200.0,108.6,72400.0,-36650.0
0.15,0.3737,0.9704,0.5396,0.4143,0.5857,0.0296,361,428,605,11,30250.0,5500.0,36100.0,108.3,72200.0,-36450.0
0.16,0.3804,0.9704,0.5466,0.4308,0.5692,0.0296,361,445,588,11,29400.0,5500.0,36100.0,108.3,72200.0,-37300.0
0.17,0.3854,0.9677,0.5513,0.4443,0.5557,0.0323,360,459,574,12,28700.0,6000.0,36000.0,108.0,72000.0,-37300.0
0.18,0.3852,0.9651,0.5506,0.4453,0.5547,0.0349,359,460,573,13,28650.0,6500.0,35900.0,107.7,71800.0,-36650.0
0.19,0.3908,0.9624,0.5559,0.4598,0.5402,0.0376,358,475,558,14,27900.0,7000.0,35800.0,107.4,71600.0,-36700.0
0.2,0.3932,0.9597,0.5578,0.4666,0.5334,0.0403,357,482,551,15,27550.0,7500.0,35700.0,107.1,71400.0,-36350.0
0.21,0.3991,0.957,0.5633,0.4811,0.5189,0.043,356,497,536,16,26800.0,8000.0,35600.0,106.8,71200.0,-36400.0
0.22,0.4032,0.957,0.5673,0.4898,0.5102,0.043,356,506,527,16,26350.0,8000.0,35600.0,106.8,71200.0,-36850.0
0.23,0.4074,0.9516,0.5705,0.5015,0.4985,0.0484,354,518,515,18,25750.0,9000.0,35400.0,106.2,70800.0,-36050.0
0.24,0.4124,0.9489,0.5749,0.5131,0.4869,0.0511,353,530,503,19,25150.0,9500.0,35300.0,105.9,70600.0,-35950.0
0.25,0.415,0.9382,0.5754,0.5237,0.4763,0.0618,349,541,492,23,24600.0,11500.0,34900.0,104.7,69800.0,-33700.0
0.26,0.4168,0.9355,0.5766,0.5286,0.4714,0.0645,348,546,487,24,24350.0,12000.0,34800.0,104.4,69600.0,-33250.0
0.27,0.4207,0.9274,0.5789,0.5402,0.4598,0.0726,345,558,475,27,23750.0,13500.0,34500.0,103.5,69000.0,-31750.0
0.28,0.4263,0.9247,0.5835,0.5518,0.4482,0.0753,344,570,463,28,23150.0,14000.0,34400.0,103.2,68800.0,-31650.0
0.29,0.4316,0.9247,0.5885,0.5615,0.4385,0.0753,344,580,453,28,22650.0,14000.0,34400.0,103.2,68800.0,-32150.0
0.3,0.436,0.9247,0.5926,0.5692,0.4308,0.0753,344,588,445,28,22250.0,14000.0,34400.0,103.2,68800.0,-32550.0
0.31,0.4397,0.922,0.5955,0.577,0.423,0.078,343,596,437,29,21850.0,14500.0,34300.0,102.9,68600.0,-32250.0
0.32,0.444,0.9167,0.5982,0.5866,0.4134,0.0833,341,606,427,31,21350.0,15500.0,34100.0,102.3,68200.0,-31350.0
0.33,0.4484,0.9113,0.6011,0.5963,0.4037,0.0887,339,616,417,33,20850.0,16500.0,33900.0,101.7,67800.0,-30450.0
0.34,0.451,0.9032,0.6016,0.6041,0.3959,0.0968,336,624,409,36,20450.0,18000.0,33600.0,100.8,67200.0,-28750.0
0.35,0.456,0.8925,0.6036,0.6167,0.3833,0.1075,332,637,396,40,19800.0,20000.0,33200.0,99.6,66400.0,-26600.0
0.36,0.4597,0.8898,0.6062,0.6234,0.3766,0.1102,331,644,389,41,19450.0,20500.0,33100.0,99.3,66200.0,-26250.0
0.37,0.462,0.8817,0.6063,0.6302,0.3698,0.1183,328,651,382,44,19100.0,22000.0,32800.0,98.4,65600.0,-24500.0
0.38,0.4649,0.8737,0.6069,0.6379,0.3621,0.1263,325,659,374,47,18700.0,23500.0,32500.0,97.5,65000.0,-22800.0
0.39,0.4679,0.8629,0.6068,0.6467,0.3533,0.1371,321,668,365,51,18250.0,25500.0,32100.0,96.3,64200.0,-20450.0
0.4,0.4676,0.8548,0.6046,0.6496,0.3504,0.1452,318,671,362,54,18100.0,27000.0,31800.0,95.4,63600.0,-18500.0
0.41,0.4731,0.8522,0.6084,0.6583,0.3417,0.1478,317,680,353,55,17650.0,27500.0,31700.0,95.1,63400.0,-18250.0
0.42,0.4755,0.836,0.6062,0.668,0.332,0.164,311,690,343,61,17150.0,30500.0,31100.0,93.3,62200.0,-14550.0
0.43,0.4795,0.8172,0.6044,0.6805,0.3195,0.1828,304,703,330,68,16500.0,34000.0,30400.0,91.2,60800.0,-10300.0
0.44,0.4919,0.8172,0.6141,0.696,0.304,0.1828,304,719,314,68,15700.0,34000.0,30400.0,91.2,60800.0,-11100.0
